Date,Open,High,Low,Close,Volume,Open Interest
2018-10-31,192.75,194.35,190.5,191.6,14683.0,2377.0
2018-10-30,196.4,196.7,191.2,191.7,36488.0,3190.0
2018-10-29,198.15,198.75,196.0,196.2,33091.0,4720.0
2018-10-26,197.3,198.7,195.3,198.45,35062.0,5690.0
2018-10-25,198.35,198.7,195.6,197.85,35523.0,5354.0
2018-10-24,200.95,202.9,198.3,199.0,45574.0,6457.0
2018-10-23,199.5,200.8,198.0,199.65,48223.0,7319.0
2018-10-22,197.15,200.4,197.1,200.25,42430.0,8529.0
2018-10-19,199.8,200.85,196.25,196.65,41931.0,5821.0
2018-10-18,198.35,200.9,198.0,200.35,29378.0,8445.0
2018-10-17,194.5,199.7,193.7,199.35,57749.0,7861.0
2018-10-16,194.1,195.1,191.85,193.8,41707.0,5627.0
2018-10-12,197.0,199.65,195.55,197.7,48304.0,5660.0
2018-10-11,196.0,198.3,193.75,196.35,54489.0,5440.0
2018-10-10,202.25,203.25,195.7,196.25,49621.0,5387.0
2018-10-09,198.4,204.45,198.4,202.9,54647.0,8098.0
2018-10-08,197.15,198.75,193.3,198.35,48802.0,7789.0
2018-10-05,195.05,198.3,193.75,198.0,47481.0,7322.0
2018-10-04,199.0,200.3,195.45,195.75,49698.0,6336.0
2018-10-03,196.8,199.9,194.45,199.65,58725.0,7297.0
2018-09-28,185.3,194.5,184.95,191.85,54533.0,9005.0
2018-09-27,185.4,187.4,182.6,184.45,10388.0,3700.0
2018-09-26,184.4,186.55,182.9,186.4,6664.0,4020.0
2018-09-25,184.3,186.35,183.1,184.45,4463.0,2781.0
2018-09-24,183.05,187.75,181.35,184.95,4680.0,2561.0
2018-09-21,178.8,184.7,177.45,183.3,4580.0,2234.0
2018-09-20,176.4,178.4,176.15,178.25,1544.0,1811.0
2018-09-19,174.0,177.6,174.0,175.75,3454.0,1464.0
2018-09-18,170.35,173.6,170.3,173.45,2676.0,1217.0
2018-09-17,167.8,170.1,167.6,169.85,1853.0,1698.0
2018-09-14,171.2,171.25,167.4,167.6,2270.0,1671.0
2018-09-13,172.4,173.25,169.25,169.6,1341.0,1289.0
2018-09-12,171.35,173.4,170.55,173.1,2582.0,1025.0
2018-09-11,173.3,174.0,169.4,169.9,1919.0,1129.0
2018-09-10,175.55,176.65,173.2,173.5,1671.0,748.0
2018-09-07,176.5,176.95,174.1,174.6,1907.0,694.0
2018-09-06,175.1,179.3,175.1,177.1,1719.0,512.0
2018-09-05,174.1,176.65,173.6,174.95,972.0,554.0
2018-09-04,176.9,177.6,173.25,173.8,1464.0,505.0
2018-08-30,178.6,179.0,175.0,176.3,126.0,125.0
2018-08-29,178.0,179.0,177.0,178.55,32.0,76.0
2018-08-28,179.0,180.7,178.0,178.45,38.0,63.0
2018-08-24,176.4,179.0,175.55,178.7,32.0,53.0
2018-08-23,172.6,174.3,172.1,173.0,9.0,43.0
2018-08-22,171.9,173.3,171.9,172.85,5.0,43.0
2018-08-21,169.85,171.5,169.85,170.45,10.0,44.0
2018-08-20,168.7,168.7,167.75,168.25,6.0,42.0
2018-08-17,167.75,168.0,165.75,167.05,9.0,39.0
2018-08-16,171.0,171.0,166.8,167.85,25.0,37.0
2018-08-14,175.4,175.7,172.7,173.2,26.0,28.0
2018-08-13,176.8,176.8,175.0,176.1,6.0,10.0
2018-08-10,178.15,178.15,177.5,177.85,7.0,7.0
2018-08-09,182.5,184.15,181.05,182.15,6.0,5.0
2018-08-08,181.0,181.0,181.0,181.0,3.0,4.0
2018-08-07,0.0,0.0,0.0,180.3,0.0,1.0
2018-08-06,180.55,180.55,178.7,179.4,4.0,1.0
2018-08-03,178.55,181.0,178.55,180.25,4.0,3.0
2018-08-02,177.05,177.05,177.05,177.05,1.0,1.0
2018-08-01,0.0,0.0,0.0,175.15,0.0,0.0
2018-07-31,180.1,180.1,180.1,180.1,1.0,0.0
2018-07-30,0.0,0.0,0.0,174.0,0.0,1.0
2018-07-27,0.0,0.0,0.0,176.7,0.0,1.0
2018-07-26,0.0,0.0,0.0,178.8,0.0,1.0
2018-07-25,0.0,0.0,0.0,178.45,0.0,1.0
2018-07-24,0.0,0.0,0.0,180.8,0.0,1.0
2018-07-23,0.0,0.0,0.0,177.75,0.0,1.0
2018-07-20,0.0,0.0,0.0,178.35,0.0,1.0
2018-07-19,0.0,0.0,0.0,178.2,0.0,1.0
2018-07-18,0.0,0.0,0.0,180.75,0.0,1.0
2018-07-17,171.5,171.5,171.5,171.5,2.0,1.0
2018-07-16,0.0,0.0,0.0,171.5,0.0,2.0
2018-07-13,0.0,0.0,0.0,178.2,0.0,2.0
2018-07-12,0.0,0.0,0.0,177.45,0.0,2.0
2018-07-11,0.0,0.0,0.0,177.5,0.0,2.0
2018-07-10,188.0,188.0,187.0,187.5,2.0,2.0
2018-07-09,191.5,191.5,191.5,191.5,1.0,0.0
2018-07-06,191.0,191.0,191.0,191.0,1.0,1.0
2018-07-05,0.0,0.0,0.0,187.0,0.0,0.0
2018-07-04,0.0,0.0,0.0,187.65,0.0,0.0
2018-07-03,0.0,0.0,0.0,192.6,0.0,0.0
2018-07-02,0.0,0.0,0.0,195.9,0.0,0.0
2018-06-29,0.0,0.0,0.0,197.75,0.0,0.0
2018-06-28,0.0,0.0,0.0,199.65,0.0,0.0
2018-06-27,0.0,0.0,0.0,197.15,0.0,0.0
2018-06-26,0.0,0.0,0.0,194.15,0.0,0.0
2018-06-25,0.0,0.0,0.0,193.55,0.0,0.0
2018-06-22,0.0,0.0,0.0,198.45,0.0,0.0
2018-06-21,0.0,0.0,0.0,199.65,0.0,0.0
2018-06-20,0.0,0.0,0.0,205.25,0.0,0.0
2018-06-19,0.0,0.0,0.0,206.3,0.0,0.0
2018-06-18,0.0,0.0,0.0,209.9,0.0,0.0
2018-06-15,0.0,0.0,0.0,211.4,0.0,0.0
2018-06-14,0.0,0.0,0.0,215.9,0.0,0.0
2018-06-13,0.0,0.0,0.0,216.85,0.0,0.0
2018-06-12,0.0,0.0,0.0,216.65,0.0,0.0
2018-06-11,0.0,0.0,0.0,216.8,0.0,0.0
2018-06-07,0.0,0.0,0.0,214.8,0.0,0.0
2018-06-06,0.0,0.0,0.0,213.85,0.0,0.0
2018-06-05,0.0,0.0,0.0,215.0,0.0,0.0
2018-06-04,0.0,0.0,0.0,210.45,0.0,0.0
2018-06-01,0.0,0.0,0.0,208.85,0.0,0.0
